epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4729,0.01443,4.5047,1.89129,0.30363,0.41716,0.30537,0.14566,0.01206,8.72706,1.73152,0.000140204,0.000140204,0.000140204
2,42.2534,0.01268,3.27705,1.63856,0.36354,0.49699,0.30371,0.12944,0.01266,3.78167,1.85797,0.000280301,0.000280301,0.000280301
3,63.243,0.01297,3.1507,1.70971,0.28401,0.46638,0.26661,0.12394,0.01357,4.50669,2.00386,0.000417569,0.000417569,0.000417569
4,84.0192,0.0133,3.16235,1.73471,0.32178,0.40721,0.29719,0.13415,0.01452,3.80788,2.09725,0.000552007,0.000552007,0.000552007
5,105.214,0.01365,3.17484,1.76499,0.31496,0.37973,0.24502,0.09712,0.01509,4.58145,2.227,0.000683616,0.000683616,0.000683616
6,125.838,0.01352,3.08291,1.76303,0.34748,0.42987,0.26255,0.09511,0.0152,3.82406,2.1119,0.000812396,0.000812396,0.000812396
7,146.721,0.01346,3.10907,1.77669,0.35727,0.4527,0.32883,0.15319,0.01431,3.44959,2.10712,0.000938346,0.000938346,0.000938346
8,167.831,0.01342,3.1267,1.80144,0.27231,0.35995,0.21206,0.08757,0.01472,4.73996,2.08367,0.00106147,0.00106147,0.00106147
9,188.469,0.01322,3.05808,1.75627,0.38504,0.46436,0.36177,0.15883,0.01402,3.21968,2.02225,0.00118176,0.00118176,0.00118176
10,209.516,0.013,3.01841,1.7543,0.38826,0.39277,0.29932,0.12944,0.01355,3.30613,1.9783,0.00129922,0.00129922,0.00129922
11,230.43,0.01294,2.95862,1.73427,0.39578,0.46681,0.38293,0.17281,0.01306,2.94854,1.93704,0.00128753,0.00128753,0.00128753
12,251.225,0.0129,2.92881,1.74936,0.37557,0.42344,0.32748,0.14602,0.0136,3.93937,2.00611,0.00127338,0.00127338,0.00127338
13,272.07,0.01253,2.79377,1.66846,0.40873,0.47031,0.38365,0.1779,0.01276,3.0921,1.88424,0.00125923,0.00125923,0.00125923
14,293.205,0.01258,2.81542,1.70524,0.41996,0.49539,0.36993,0.15999,0.01292,3.17441,1.8741,0.00124509,0.00124509,0.00124509
15,313.74,0.01242,2.78053,1.6706,0.37661,0.51296,0.37351,0.1734,0.01325,3.05921,1.93654,0.00123094,0.00123094,0.00123094
16,334.48,0.01222,2.69239,1.65386,0.46242,0.45498,0.38466,0.1869,0.01262,3.02905,1.8514,0.00121679,0.00121679,0.00121679
17,355.114,0.01203,2.62115,1.62823,0.4195,0.55088,0.42972,0.20319,0.01282,2.87872,1.89515,0.00120265,0.00120265,0.00120265
18,376.017,0.01194,2.59647,1.6047,0.41522,0.55205,0.42237,0.20551,0.0127,3.12,1.84527,0.0011885,0.0011885,0.0011885
19,397.026,0.01202,2.61224,1.61658,0.48762,0.5097,0.45177,0.20714,0.01251,2.98621,1.8211,0.00117435,0.00117435,0.00117435
